source_audio,relative_audio,status,error,duration_ms,frame_count,segment_count,voiced_frame_count,voiced_frame_ratio,dominant_frame_label,dominant_segment_label,subharmonics_candidate_count,sidebands_candidate_count,chaos_candidate_count,frequency_jump_candidate_count,mean_ampl,mean_pitch_voiced,mean_amEnvDep,mean_amMsPurity,mean_HNR,mean_roughness,mean_entropy,mean_subDep,median_ampl,median_pitch_voiced,median_amEnvDep,median_amMsPurity,median_HNR,median_roughness,median_entropy,median_subDep,frame_none_count,frame_none_ratio,segment_none_count,frame_unvoiced_count,frame_unvoiced_ratio,segment_unvoiced_count,frame_subharmonics_count,frame_subharmonics_ratio,segment_subharmonics_count,frame_sidebands_count,frame_sidebands_ratio,segment_sidebands_count,frame_chaos_count,frame_chaos_ratio,segment_chaos_count,frame_frequency_jump_count,frame_frequency_jump_ratio,segment_frequency_jump_count
/mnt/home/xiaoshilin/Data/TTS/IMS-Toucan/audios-1-14/id0001/15.wav,audios-1-14/id0001/15.wav,ok,,1875.0,75,24,46,0.6133333333333333,Unvoiced,Sidebands,8,48,0,2,0.02611146776286885,176.03101055787266,0.2748036153590364,-45.6858456729193,12.36961682876084,13.6532174215022,0.26255163092472517,0.07026413220393848,0.0173073458243985,159.1114752629405,0.246964407371392,-45.6858456729193,12.4300595991545,13.6532174215022,0.175779380867978,0.0250124653957029,19,0.25333333333333335,3,29,0.38666666666666666,6,8,0.10666666666666667,6,17,0.22666666666666666,7,0,0.0,0,2,0.02666666666666667,2
/mnt/home/xiaoshilin/Data/TTS/IMS-Toucan/audios-1-14/id0001/154.wav,audios-1-14/id0001/154.wav,ok,,2525.0,101,27,68,0.6732673267326733,Sidebands,Sidebands,6,82,0,0,0.028033745488239437,256.5189640501489,0.2812046787343506,,12.72979977546796,13.369512387729802,0.23862070928391463,0.03225058035837626,0.0235349976890345,155.9920582073035,0.275765984218169,,13.413220433951949,13.3695123877298,0.19591449926613,0.0,17,0.16831683168316833,5,33,0.32673267326732675,6,6,0.0594059405940594,5,45,0.44554455445544555,11,0,0.0,0,0,0.0,0
/mnt/home/xiaoshilin/Data/TTS/IMS-Toucan/audios-1-14/id0001/152.wav,audios-1-14/id0001/152.wav,ok,,2050.0,82,22,58,0.7073170731707317,Sidebands,Sidebands,6,64,0,0,0.026355487298101343,177.44632458251223,0.2674510257435114,-45.9092428462221,11.866856600121162,14.4525188358052,0.20999596290870198,0.05062210011551276,0.023649220302330798,152.276302441058,0.2671460848223995,-45.9092428462221,12.209448425240002,14.4525188358052,0.16714499052034199,0.01900575311528315,16,0.1951219512195122,5,24,0.2926829268292683,6,6,0.07317073170731707,3,36,0.43902439024390244,8,0,0.0,0,0,0.0,0
/mnt/home/xiaoshilin/Data/TTS/IMS-Toucan/audios-1-14/id0001/150.wav,audios-1-14/id0001/150.wav,ok,,2675.0,107,28,74,0.6915887850467289,Sidebands,Unvoiced,8,65,0,1,0.028059263579239213,169.76732124716236,0.22791523014770387,-45.3274002003349,12.56786256716634,13.6739985066109,0.2548343614401063,0.046804241917115144,0.0246283822546572,157.7744217280415,0.204722596781812,-45.3274002003349,12.61847469234155,13.6739985066109,0.169191860244397,0.003376702380904245,29,0.27102803738317754,7,33,0.308411214953271,8,8,0.07476635514018691,5,36,0.3364485981308411,7,0,0.0,0,1,0.009345794392523364,1
/mnt/home/xiaoshilin/Data/TTS/IMS-Toucan/audios-1-14/id0001/155.wav,audios-1-14/id0001/155.wav,ok,,2100.0,84,23,54,0.6428571428571429,None,Unvoiced,7,44,0,0,0.026209883297366943,163.21064871271898,0.20058624894350488,-45.9515438641275,13.313612173197047,13.0629373802275,0.27108689546710696,0.04361728795508405,0.01902790165970565,156.0723131895825,0.1837488760931715,-45.9515438641275,12.3430837884013,13.0629373802275,0.186730005706217,0.020518399827323702,31,0.36904761904761907,6,30,0.35714285714285715,7,7,0.08333333333333333,6,16,0.19047619047619047,4,0,0.0,0,0,0.0,0
/mnt/home/xiaoshilin/Data/TTS/IMS-Toucan/audios-1-14/id0001/153.wav,audios-1-14/id0001/153.wav,ok,,2775.0,111,26,74,0.6666666666666666,Sidebands,Sidebands,7,75,0,0,0.027279559555207476,162.90949852933312,0.26575369951818983,-44.5849025271652,13.074614334899458,12.9274523949654,0.24926692557170202,0.03922855794433455,0.0216154467204951,151.873904979958,0.233778104696595,-44.5849025271652,13.018582938702,12.9274523949654,0.127254585195667,0.007606249374933295,23,0.2072072072072072,4,37,0.3333333333333333,7,7,0.06306306306306306,6,44,0.3963963963963964,9,0,0.0,0,0,0.0,0
/mnt/home/xiaoshilin/Data/TTS/IMS-Toucan/audios-1-14/id0001/145.wav,audios-1-14/id0001/145.wav,ok,,2625.0,105,21,70,0.6666666666666666,Unvoiced,Sidebands,6,64,0,2,0.027312840095556307,178.29757361221087,0.23214764884345912,,12.91645381664725,13.484474775604898,0.253197544256417,0.03699432185611863,0.0243641720212199,156.4396597589525,0.204927546360931,,12.8343859409996,13.4844747756049,0.179661425091055,0.009758016425910645,32,0.3047619047619048,5,35,0.3333333333333333,5,6,0.05714285714285714,4,32,0.3047619047619048,7,0,0.0,0,0,0.0,0
/mnt/home/xiaoshilin/Data/TTS/IMS-Toucan/audios-1-14/id0001/156.wav,audios-1-14/id0001/156.wav,ok,,2400.0,96,30,57,0.59375,Unvoiced,Unvoiced,9,70,0,0,0.0257326836871665,180.14407854667346,0.26112352541417977,,11.764117246012006,13.565052621041398,0.2790135487775072,0.051587670491131804,0.0149144836750591,156.515734343265,0.233715514096222,,12.182283373341999,13.5650526210414,0.1862259908966325,0.0172410043184816,21,0.21875,7,39,0.40625,8,9,0.09375,7,27,0.28125,8,0,0.0,0,0,0.0,0
/mnt/home/xiaoshilin/Data/TTS/IMS-Toucan/audios-1-14/id0001/158.wav,audios-1-14/id0001/158.wav,ok,,2900.0,116,31,80,0.6896551724137931,Sidebands,Sidebands,12,81,0,1,0.027185871612799513,200.9474241733871,0.2762292770953951,-45.6093030513313,13.919869884033693,12.8254111605682,0.22216636940828619,0.045717046625151844,0.0228661871889686,158.2193683801445,0.258307708372084,-45.6093030513313,13.3930799336141,12.8254111605682,0.1676745719950985,0.0138718629484057,26,0.22413793103448276,5,36,0.3103448275862069,6,12,0.10344827586206896,8,42,0.3620689655172414,12,0,0.0,0,0,0.0,0
/mnt/home/xiaoshilin/Data/TTS/IMS-Toucan/audios-1-14/id0001/151.wav,audios-1-14/id0001/151.wav,ok,,2300.0,92,25,72,0.782608695652174,None,Sidebands,8,56,0,2,0.026591815132130246,168.57679274641882,0.23280395316539326,,12.834262573522658,11.7131746526714,0.13755648051648373,0.04317914848828574,0.02161258828595145,165.04987432322548,0.21409905120163047,,12.8163603311341,11.7131746526714,0.112591087924357,0.008579176746874506,33,0.358695652173913,3,20,0.21739130434782608,4,8,0.08695652173913043,6,30,0.32608695652173914,11,0,0.0,0,1,0.010869565217391304,1
